planets,set distances
Kepler-111 b,0.8500037027502075
Kepler-155 b,0.011732957205489255
Kepler-186 d,0.027070543644734876
Kepler-374 c,0.09645566004468462
Kepler-295 c,0.2201265504720002
Kepler-191 b,0.23109313263369327
Kepler-324 b,0.6739981677652456
Kepler-112 c,0.10471899553744721
Kepler-394 c,0.36376545229718876
Kepler-350 d,0.2786908136208507
Kepler-206 c,0.11216400297972175
Kepler-327 b,0.359603121158259
Kepler-23 b,0.310474473007126
Kepler-60 d,0.7985162870414021
Kepler-250 c,0.14585903402418238
Kepler-229 b,0.03478969780291034
Kepler-58 b,2.4600343311503945
Kepler-326 c,0.23591601249333977
Kepler-215 e,0.12112018191120692
Kepler-291 c,0.21453194379541796
Kepler-323 c,0.45175805840554983
Kepler-208 e,0.21316221028021207
Kepler-337 c,0.209960124980439
Kepler-379 c,0.2568081246569218
Kepler-208 d,0.7990553368139391
Kepler-149 c,0.019885050701462546
Kepler-352 b,0.15259530145694464
Kepler-247 b,0.279024032805452
Kepler-206 d,0.5760501479154863
Kepler-195 c,0.13417307272457035
Kepler-144 c,0.08437112702165525
Kepler-121 b,0.07727565661409898
Kepler-50 b,0.045384249151438634
Kepler-215 d,0.3021205953073048
Kepler-314 b,0.16603441923341397
Kepler-266 b,0.12436043092940928
Kepler-327 d,0.09876745799585249
Kepler-156 b,0.3108866068914265
Kepler-181 c,0.20390064504937686
Kepler-197 e,0.22401326075163916
Kepler-244 c,0.27546819946334977
Kepler-82 e,0.07560539251562441
Kepler-68 b,0.4588709443506824
Kepler-240 b,0.3766852725180737
Kepler-317 c,0.19070598387765558
Kepler-155 c,0.31298276641952194
Kepler-296 c,0.013468609481882643
Kepler-380 c,0.22923775328671603
Kepler-270 b,0.3790502044699448
HD 20794 b,0.081335461287552
Kepler-52 b,0.14772665939025517
Kepler-306 c,0.16819158539413534
Kepler-80 b,0.21322197990176847
Kepler-209 b,0.044332520449810064
Kepler-341 c,0.768990168023618
Kepler-124 d,0.13180719851881284
Kepler-85 c,0.24463787310985408
Kepler-332 d,0.09728678409651946
Kepler-389 b,0.26845666930099643
Kepler-119 c,0.31086724722519643
Kepler-273 c,0.10133108625959843
Kepler-328 b,0.09742231451291133
61 Vir b,0.12860997764246646
Kepler-360 c,0.04530916047871194
Kepler-254 c,0.1063928525953069
HD 40307 b,0.2085068264965289
Kepler-167 c,0.04245553963746659
Kepler-57 b,0.2196396922067868
Kepler-165 b,0.09385829392848098
Kepler-336 d,0.09984502123866752
Kepler-207 b,1.3177220386368529
Kepler-334 c,0.019672192338726163
Kepler-336 b,0.7514557966384877
Kepler-61 b,0.18216572044248724
Kepler-123 c,0.02351310059763643
Kepler-101 c,0.11764453442643083
Kepler-393 c,0.459552840677664
Kepler-396 b,0.5837522353814696
Kepler-280 b,0.23318229847615818
Kepler-26 e,0.20771725671039654
Kepler-126 c,0.10164851721703155
Kepler-184 d,0.22626125776410907
Kepler-54 d,0.08876816390464926
Kepler-54 c,0.12891852458146089
Kepler-283 b,0.11568821557204563
Kepler-401 c,0.13322078931034131
Kepler-42 d,0.28212911236672356
Kepler-48 b,0.28331241871408724
Kepler-254 d,0.20239567669124756
Kepler-62 e,0.20736287930436753
PSR 1257 12 b,0.3628652932125221
Kepler-65 c,0.20723490206858625
Kepler-221 b,0.20073262684220186
Kepler-404 c,0.23887223730587107
Kepler-261 b,0.13446152604775344
Kepler-402 e,0.5105596529766403
HD 96700 b,0.29303003822978585
Kepler-296 b,0.26631748971361496
Kepler-321 b,0.526816800088018
Kepler-269 b,0.44119165367312724
Kepler-348 c,0.12568658917243156
Kepler-186 e,0.12362818994841718
Kepler-299 b,0.4242551173687736
